can	罐頭	罐头
roulette wheel	輪盤賭	轮盘赌
barking frog	叫蛙	叫蛙
broom palm	掃帚掌	扫帚掌
peach orchard	桃園	桃园
scotch whisky	蘇格蘭威士忌酒	苏格兰威士忌酒
water elm	水榆	水榆
slide projector	幻燈片放映機	幻灯片放映机
scorpion fish	蠍子魚	蝎子鱼
queensland hemp	昆士蘭大麻	昆士兰大麻
white elm	美國榆	美国榆
electric frying pan	電煎鍋	电煎锅
peacock-throne	孔雀寶座	孔雀宝座
choir loft	唱詩席	唱诗席
bermuda rig	【航海學】百慕大帆裝(= Marconi rig)[亦作 Bermudan rig	【航海学】百慕大帆装(= Marconi rig)[亦作 Bermudan rig
red elm	紅榆	红榆
fetal monitor	胎兒監護器	胎儿监护器
red clover	紅三葉草	红三叶草
red bordeaux	波爾多紅葡萄酒	波尔多红葡萄酒
bracket fungus	簷狀菌	檐状菌
american elm	美國榆	美国榆
judas tree	南歐紫荊（相傳猶大自縊於此樹上）	南欧紫荆（相传犹大自缢于此树上）
vat dye	還原染料	还原染料
chopping block	砧板	砧板
white clover	白三葉草	白三叶草
male genital organ	雄生殖器	雄生殖器
sam browne belt	(軍官的)皮帶	(军官的)皮带
phoebe bird	遮蔽著東非比霸	遮蔽着东非比霸
implements of war	軍火	军火
whipping post	綁縛受鞭打犯人的柱子	绑缚受鞭打犯人的柱子
spit curl		
cultivated strawberry	栽培草莓	栽培草莓
colorado spruce		
avalanche lily	山赤蓮	山赤莲
sponge genus	海綿屬	海绵属
internal cerebral vein	大腦內靜脈	大脑内静脉
douche bag	（俗語	（俗语
english elm	英國榆樹	英国榆树
oriental poppy	東洋罌粟花	东洋罂粟花
cultivated crab apple	栽培的螃蟹蘋果	栽培的螃蟹苹果
dense blazing star	濃密的明星	浓密的明星
common hops	普通啤酒花	普通啤酒花
peacock ore	孔雀銅礦	孔雀铜矿
common sunflower	普通向日葵	普通向日葵
zinc oxide	氧化鋅	氧化锌
animal pigment	動物色素	动物色素
adhesive agent	附著劑	附着剂
scorpion fly	【動】蠍蟲類  昆蟲	【动】蝎虫类  昆虫
confederate jasmine	[美國英語]＝star jasmine	[美国英语]＝star jasmine
rotor blade	轉子葉片	转子叶片
satin flower	高代花	高代花
varsity sock	大學襪子	大学袜子
suction cup	吸盤	吸盘
opium den	鴉片窟	鸦片窟
european elm	歐洲榆木	欧洲榆木
soil conditioner	土壤調理劑	土壤调理剂
scotch gale	蘇格蘭風	苏格兰风
skeletal muscle	骨骼肌	骨骼肌
sunflower oil	向日葵油	向日葵油
ordeal bean	毒扁豆	毒扁豆
apple tart	蘋果餡餅	苹果馅饼
zebra crossing	斑馬線	斑马线
september elm	秋榆	秋榆
contour map	等高線地圖	等高线地图
thyroid hormone	甲狀腺激素	甲状腺激素
cupcake	杯形蛋糕	杯形蛋糕
handgun	手槍	手枪
deli	熟食店	熟食店
collage	拼貼畫	拼贴画
iceberg	冰山	冰山
saliva	唾液	唾液
pedestal	支柱	支柱
shortcut	捷徑	捷径
landfill	垃圾堆	垃圾堆
muffin	鬆餅	松饼
catfish	鯰魚	鲶鱼
graphite	石墨	石墨
caucasus	高加索山脈	高加索山脉
bonnet	軟帽	软帽
dust mop	長柄拖把	长柄拖把
cactus mouse	仙人掌小鼠	仙人掌小鼠
casing	箱	箱
watermelon	西瓜	西瓜
parkway	公園道路	公园道路
smoother	弄平的人	弄平的人
soda cracker	蘇打餅乾	苏打饼干
masonry	(建築物的)磚石部分	(建筑物的)砖石部分
cords	燈芯絨褲子	灯芯绒裤子
appliance	器械	器械
chinese elm	榔榆	榔榆
sewing-machine stitch	縫紉機針跡	缝纫机针迹
pancake	薄烤餅	薄烤饼
palate	顎	腭
rock elm	木栓榆	木栓榆
treadmill	踏車	踏车
afp	法國新聞社	法国新闻社
musk turtle	麝龜[棲居於北美洲和中美洲	麝龟[栖居于北美洲和中美洲
enamel	琺琅	珐琅
mina	邁納(古希臘單位)	迈纳(古希腊单位)
tammy	一種便帽（等於tam-o'-shanter）	一种便帽（等于tam-o'-shanter）
soda biscuit	蘇打餅乾	苏打饼干
automated teller	自動出納機	自动出纳机
goggles	護目鏡	护目镜
heath hen	雌黑禽	雌黑禽
chain wrench	鏈式扳手	链式扳手
rattle-top	撥浪鼓	拨浪鼓
japan clover	條紋胡枝子	条纹胡枝子
home appliance	家電用品	家电用品
cuban spinach	古巴菠菜	古巴菠菜
knit stitch	下針（編結的一種基本針法）	下针（编结的一种基本针法）
edible snail	食用蝸牛	食用蜗牛
nepal trumpet flower	尼泊爾喇叭花	尼泊尔喇叭花
choking coil	扼流圈	扼流圈
trumpet vine	凌霄花	凌霄花
cn tower	加拿大國家電視塔（Canada's National Tower）	加拿大国家电视塔（Canada's National Tower）
genus citrus	柑橘屬	柑橘属
hoop snake	環箍蛇	环箍蛇
sweet clover	草木樨（屬）	草木樨（属）
diplomatic pouch	外交郵袋	外交邮袋
optical prism	光學稜鏡	光学棱镜
harp seal	格陵蘭海豹	格陵兰海豹
false scorpion	假蠍子	假蝎子
aqua-lung	(潛水員用的)水中呼吸器	(潜水员用的)水中呼吸器
cannon cracker	大爆竹	大爆竹
european field elm	歐洲榆樹	欧洲榆树
elm tree	榆	榆
petroleum refinery	石油煉廠	石油炼厂
hard palate	硬顎	硬腭
diffusion pump	擴散抽氣機	扩散抽气机
sealing wax	封蠟	封蜡
power takeoff	動力輸出（軸	动力输出（轴
radial tire	子午線輪胎	子午线轮胎
holy clover		
bitter salts	苦鹽	苦盐
colorado blue spruce		
smoked herring	煙燻鯡魚	烟熏鲱鱼
lunar crater	（月面）環形山	（月面）环形山
common wasp	普通黃蜂	普通黄蜂
japanese clover	條紋胡枝子	条纹胡枝子
surgical seam	手術縫	手术缝
english muffin	英式鬆餅	英式松饼
lazy daisy stitch	雛菊繡針法	雏菊绣针法
one-armed bandit	吃角子老虎	吃角子老虎
white sweet clover	白花根木樨	白花根木樨
cigar-box cedar	雪茄盒柏木	雪茄盒柏木
admiralty brass	海軍黃銅	海军黄铜
herbal tea	涼茶	凉茶
source of illumination	光源	光源
bay wreath	海灣花圈	海湾花圈
evergreen oak	常綠櫧 (Quercus ilex)	常绿槠 (Quercus ilex)
meteorological satellite	氣象衛星	气象卫星
web spinner	紡足目（Embioptera） 昆蟲	纺足目（Embioptera） 昆虫
blue catfish	藍鯰魚	蓝鲶鱼
spanish elm	西班牙榆樹	西班牙榆树
paper wasp	胡蜂	胡蜂
herbal medicine	草藥	草药
broom closet	清潔間	清洁间
evergreen cherry	常綠櫻桃	常绿樱桃
european catfish	歐洲鯰魚	欧洲鲶鱼
bordeaux wine	波爾多葡萄酒	波尔多葡萄酒
goa powder	柯椏粉	柯桠粉
cerebral hemisphere	大腦半球	大脑半球
french pancake	法國式煎餅	法国式煎饼
wheeled vehicle	輪式車輛	轮式车辆
pulp cavity	齒髓腔	齿髓腔
sea catfish	海鯰	海鲶
chilean nut	智利堅果	智利坚果
embryo	胚胎	胚胎
sturgeon	鱘魚	鲟鱼
wick	燈芯	灯芯
maize	玉蜀黍	玉蜀黍
fumes	煙	烟
san joaquin river	聖華金河	圣华金河
aspirin	阿斯匹林	阿斯匹林
coupe	雙座四輪轎式馬車	双座四轮轿式马车
prima	第一的	第一的
latch	門閂	门闩
cooker	炊事用具	炊事用具
silicone rubber	矽橡膠	硅橡胶
ridley	[動] 鱗龜屬(=Lepidochelys)動物 (產於墨西哥灣)	[动] 鳞龟属(=Lepidochelys)动物 (产于墨西哥湾)
toad	蟾蜍	蟾蜍
tie tack	領帶別針 [亦作 tie tac]	领带别针 [亦作 tie tac]
fife rail	卷帆索的座臺	卷帆索的座台
infirmary	醫院	医院
percussion cap	雷管	雷管
sling	投石器	投石器
ornamental	裝飾物	装饰物
restriction fragment	限制酶斷片	限制酶断片
sao francisco	科河	科河
loom	織布機	织布机
parlor	客廳	客厅
radiator	暖氣裝置	暖气装置
pebble	小圓石	小圆石
brussels biscuit	布魯塞爾餅乾	布鲁塞尔饼干
birch bark	樺樹皮	桦树皮
bungalow	平房	平房
dracula	德拉庫拉（人名）	德拉库拉（人名）
ligament	結帶	结带
superior cerebral vein	大腦上靜脈	大脑上静脉
linear accelerator	直線加速器	直线加速器
pedestal table	柱腳桌	柱脚桌
milling	磨	磨
bog	沼澤	沼泽
myrtle	桃金娘科植物	桃金娘科植物
hardwood	硬木	硬木
colbert butter	柯伯特黃油	柯伯特黄油
worldly good	世俗的好	世俗的好
italian clover	絳車軸草	绛车轴草
large tooth aspen	大齒白楊	大齿白杨
night latch	夜鎖	夜锁
two-winged insects	雙翅昆蟲	双翅昆虫
knitting needle	編織品	编织品
spaghetti squash	西葫蘆	西葫芦
temporal artery	顳動脈	颞动脉
beef broth	牛肉汁	牛肉汁
honey gland	蜜槽	蜜槽
jersey elm	澤西榆樹	泽西榆树
automated teller machine	自動出納機	自动出纳机
rolled oats	燕麥片	燕麦片
single-rotor helicopter	單槳直升飛機	单桨直升飞机
golden fleece	金羊毛（希臘神話中出現的一件寶物）	金羊毛（希腊神话中出现的一件宝物）
imperial mammoth	帝王猛獁	帝王猛犸
witch broom	魔女掃帚	魔女扫帚
beach pancake	沙灘煎餅	沙滩煎饼
german pancake	德國煎餅	德国煎饼
hoop ash	環岑樹	环岑树
myrtle family	桃金娘科	桃金娘科
ebony family	黑檀樹種	黑檀树种
true toad	蟾蜍科	蟾蜍科
stumbling block	障礙物	障碍物
giant sunflower	巨型向日葵	巨型向日葵
whipping cream	（乳脂含量較高的）鮮奶油	（乳脂含量较高的）鲜奶油
hand ax	手斧	手斧
tear gland	淚腺	泪腺
wing elm	翼榆樹	翼榆树
guided missile cruiser	導彈巡洋艦	导弹巡洋舰
sausage curl	香腸狀捲髮（式樣）	香肠状卷发（式样）
white sturgeon	高首鱘（Acipenser transmontanus）[亦作 Pacific sturgeon]	高首鲟（Acipenser transmontanus）[亦作 Pacific sturgeon]
parlor car	特等豪華鐵路客車	特等豪华铁路客车
tyrant bird	霸鶲	霸鹟
genus veronica	婆婆納屬	婆婆纳属
mercury-vapor lamp	汞汽燈	汞汽灯
genus erica	埃裡卡屬	埃里卡属
scatter pin	（女工服裝的）飾針	（女工服装的）饰针
bee eater	食蜂鳥	食蜂鸟
swamp birch	沼澤樺木	沼泽桦木
armoured car	裝甲車	装甲车
full radiator	全輻射體	全辐射体
ax head	斧頭	斧头
channel catfish	斑點叉尾鮰	斑点叉尾鮰
american toad	美國蟾蜍	美国蟾蜍
power loom	動力織布機	动力织布机
snapping turtle	甲魚	甲鱼
austrian winter pea	奧地利冬豌豆	奥地利冬豌豆
ceramic ware	陶瓷器	陶瓷器
water-soluble vitamin	水溶性維生素	水溶性维生素
hamburger steak	碎牛肉	碎牛肉
pea crab	蟹	蟹
common ax	普通的斧頭	普通的斧头
common myrtle	香桃木	香桃木
uruguay potato vine	烏拉圭馬鈴薯藤	乌拉圭马铃薯藤
oyster crab	牡蠣豆蟹（Pinnotheres ostreum）	牡蛎豆蟹（Pinnotheres ostreum）
adhesive tape	膠帶	胶带
peacock flower fence	孔雀花籬笆	孔雀花篱笆
bog star	沼澤之星	沼泽之星
heath pea	保健豌豆	保健豌豆
light whipping cream	包括	包括
barrel cactus	桶形仙人掌	桶形仙人掌
baton rouge bridge	巴吞魯日大橋	巴吞鲁日大桥
european toad	大蟾蜍	大蟾蜍
thyroid vein	甲狀腺靜脈	甲状腺静脉
pillow sham	裝飾用枕頭套	装饰用枕头套
jelly fungus	膠質菌	胶质菌
striped coral root	條紋珊瑚根	条纹珊瑚根
electric catfish	電鯰	电鲇
torres strait	託雷斯海峽(在澳大利亞與新幾內亞之間)	托雷斯海峡(在澳大利亚与新几内亚之间)
dry masonry	幹砌石土	干砌石土
spun yarn	細紗	细纱
figure loom	圖織機	图织机
door latch	排料啟閉器	排料启闭器
allen wrench	艾倫板鉗	艾伦板钳
belmont	貝爾蒙（一種煙的名字）	贝尔蒙（一种烟的名字）
winged bean	有四個翼瓣豆莢的豆	有四个翼瓣豆荚的豆
mace	狼牙棒	狼牙棒
airbus	空中客車	空中客车
bullpen	<美>牛欄	<美>牛栏
propeller	螺旋槳	螺旋桨
mitt	棒球手套	棒球手套
steroid	類固醇	类固醇
fibre optic cable	光纜	光缆
plaid	格子花呢披風	格子花呢披风
acrylic fiber	丙烯酸纖維	丙烯酸纤维
corvette	克爾維特式輕巡航艦	克尔维特式轻巡航舰
common snapping turtle	擬鱷龜	拟鳄龟
electron microscope	電子顯微鏡	电子显微镜
satin leaf	緞葉	缎叶
mend	改進	改进
mane	鬃毛	鬃毛
pressure cooker	高壓鍋	高压锅
kiwi	鷸鴕	鹬鸵
western ax	西方斧頭	西方斧头
montage	混合畫	混合画
ice ax	碎冰斧	碎冰斧
citadel	城堡	城堡
limo	檸檬	柠檬
western toad	西方蟾蜍	西方蟾蜍
tall sunflower	高向日葵	高向日葵
rye whiskey	黑麥威士忌酒	黑麦威士忌酒
fudge	虛構的故事	虚构的故事
espresso maker	濃縮咖啡機	浓缩咖啡机
doggy do	小狗做	小狗做
soft palate	軟顎	软腭
saline	鹽湖	盐湖
scraping	擦去	擦去
contour sheet	等高線圖	等高线图
mascara	染眉毛油	染眉毛油
turquoise	綠松石	绿松石
california romero	加州羅密歐	加州罗密欧
roundabout	迂迴路線	迂回路线
canine	犬齒	犬齿
norma	矩尺(星)座	矩尺(星)座
san joaquin valley	聖華金河谷	圣华金河谷
boilers suit	鍋爐西裝	锅炉西装
hairstyle	髮型	发型
jumbo jet	大型噴氣式客機	大型喷气式客机
scorpion shell	蠍貝	蝎贝
additive	新增物	添加物
greek clover	希臘三葉草	希腊三叶草
blue channel catfish	藍色通道鯰魚	蓝色通道鲶鱼
archipelago	群島	群岛
spade	鏟子	铲子
plush	長毛絨	长毛绒
gemma	芽	芽
doggy	小狗兒	小狗儿
weld	焊接處	焊接处
sun parlor	日光室	日光室
rock cornish	洛克考尼什(母)雞(考尼什雞與普利茅斯洛克雞雜交的雛雞)[亦作Rock Cornish game hen	洛克考尼什(母)鸡(考尼什鸡与普利茅斯洛克鸡杂交的雏鸡)[亦作Rock Cornish game hen
gas cooker	煤氣爐	煤气炉
dun	催促者	催促者
dashboard	儀表板	仪表板
american green toad	美國綠色蟾蜍	美国绿色蟾蜍
flowering crab	花蘋果	花苹果
bog plant	沼澤植物	沼泽植物
parlor grand	(長度介於平臺鋼琴與小型臥式鋼琴之間的)客廳大鋼琴	(长度介于平台钢琴与小型卧式钢琴之间的)客厅大钢琴
bush clover	胡枝子屬	胡枝子属
battle-ax	戰斧	战斧
ring-tailed cat	環尾貓	环尾猫
texas toad	德州蟾蜍	德州蟾蜍
jonah crab	〔動〕北黃道蟹	〔动〕北黄道蟹
hoop pine	肯寧南洋杉	肯宁南洋杉
pebble plant	卵石廠	卵石厂
tube wrench	管子扳手	管子扳手
sapphire berry	藍寶石漿果	蓝宝石浆果
hook wrench	鉤形扳手	钩形扳手
coyote bush	土狼叢林	土狼丛林
moor-bird	沼澤鳥	沼泽鸟
yellow sweet clover	黃香草木犀	黄香草木犀
gee-gee	馬	马
cigar cutter	雪茄煙切刀	雪茄烟切刀
milling machine	銑床	铣床
roundabout way	迂迴路	迂回路
electronic fetal monitor	電子胎兒監護儀	电子胎儿监护仪
douglas spruce		
psychedelic drug	迷幻劑	迷幻剂
kitchen appliance	廚房電器	厨房电器
malaria mosquito	瘧蚊	疟蚊
blue mold fungus	藍黴菌	蓝霉菌
spike lavender	寬葉薰衣草（歐洲產的一種薄荷）	宽叶熏衣草（欧洲产的一种薄荷）
tree toad	雨蛙	雨蛙
ebony tree	烏木樹	乌木树
plumbing fixture	衛生潔具	卫生洁具
food additive	食物新增劑	食物添加剂
comb jelly	櫛水母（腔腸動物的一種）	栉水母（腔肠动物的一种）
spade bit	鏟形鑽頭	铲形钻头
middle thyroid vein	甲狀腺中靜脈	甲状腺中静脉
tread-softly	期冀的輕柔	期冀的轻柔
dew worm	蚯蚓	蚯蚓
heavy whipping cream	奶油	奶油
hawk moth	天蛾	天蛾
bog rose	沼澤玫瑰	沼泽玫瑰
bulldog clip	大鋼夾	大钢夹
genus zeus	海魴屬	海鲂属
fat-soluble vitamin	脂溶性維生素	脂溶性维生素
ax handle	斧柄	斧柄
pickle barrel	酸洗桶	酸洗桶
compact-disk burner	光碟燒錄機	光盘刻录机
atlas moth	大柏天蠶蛾	大柏天蚕蛾
vase vine	花瓶藤	花瓶藤
saddle oyster	馬鞍牡蠣	马鞍牡蛎
ultraviolet source	紫外線源	紫外线源
cone friction clutch	錐形摩擦離合器	锥形摩擦离合器
mourning cloak	【昆蟲】黃緣蛺蝶(孝衣蝶)(Nymphalis antiopi) [亦作Camberwell beauty]	【昆虫】黄缘蛱蝶(孝衣蝶)(Nymphalis antiopi) [亦作Camberwell beauty]
ammonia clock	氨鍾	氨钟
cinnamon bun	肉桂麵包	肉桂面包
genus viola	堇菜屬	堇菜属
beauty parlor	美容院	美容院
easter cactus		
armoured vehicle	裝甲車輛	装甲车辆
belmont park	貝爾蒙特公園	贝尔蒙特公园
rocker arm	搖臂	摇臂
tea parlor	茶室	茶室
mexican sunflower	腫柄菊	肿柄菊
desert sunflower	沙漠太陽花	沙漠太阳花
mountain ebony	羊蹄甲	羊蹄甲
bay myrtle	海灣桃金娘	海湾桃金娘
titanic oxide	二氧化鈦	二氧化钛
hop clover	蛇麻草	蛇麻草
dutch elm	【植物】荷蘭榆 (Ulmus hollandica)	【植物】荷兰榆 (Ulmus hollandica)
dutch clover		
rocket launcher	火箭發射裝置	火箭发射装置
chesapeake bay	切薩皮克灣	切萨皮克湾
cerebral artery	腦動脈	脑动脉
bermuda cedar	百慕達雪松	百慕达雪松
swamp sparrow	（北美）沼澤帶鵐(Melospiza georgiana	（北美）沼泽带鹀(Melospiza georgiana
rust fungus	鏽菌	锈菌
clover-root	三葉草根	三叶草根
guided missile destroyer	導彈驅逐艦	导弹驱逐舰
apron string	圍裙帶	围裙带
volcanic crater	火山囗	火山囗
tenor drum	高音鼓	高音鼓
reversible	雙面可用織物	双面可用织物
binder	捆縛者	捆缚者
hinge	鉸鏈	铰链
buggy	雙輪單座輕馬車	双轮单座轻马车
photon	光子	光子
foundry	鑄造	铸造
alligator	短吻鱷	短吻鳄
rowan	花楸樹	花楸树
norway spruce	挪威雲杉	挪威云杉
hardcover	硬封面的書	硬封面的书
potion	飲劑	饮剂
orange peel fungus	橙皮真菌	橙皮真菌
brig	禁閉室	禁闭室
platform rocker	平臺搖椅（一種裝在固定底座上的搖椅）	平台摇椅（一种装在固定底座上的摇椅）
giraffe	長頸鹿	长颈鹿
bread and butter pickle	麵包和黃油泡菜	面包和黄油泡菜
irons	鐐銬	镣铐
black-legged tick	黑足蜱	黑足蜱
reindeer	馴鹿	驯鹿
caucasus mountains	高加索山脈（俄羅斯）	高加索山脉（俄罗斯）
takeaway	外賣食品的餐館	外卖食品的餐馆
melon	瓜	瓜
seizing	抓	抓
toad-in-the-hole	烤面拖牛肉	烤面拖牛肉
aba	寬大無袖長袍	宽大无袖长袍
boston rocker	波士頓(高背木)搖椅	波士顿(高背木)摇椅
grinder	推磨的人	推磨的人
sunflower seed	向日葵子	向日葵子
angular vein	內眥靜脈	内眦静脉
manifold	影印本	复印本
fir cone	冷杉球果	冷杉球果
timber hitch	（將繩子系在桅杆等圓材上時用的）圓材結	（将绳子系在桅杆等圆材上时用的）圆材结
knuckles	（指人）指關節( knuckle的名詞複數 )	（指人）指关节( knuckle的名词复数 )
ornament	裝飾	装饰
eureka	優銅	优铜
pin wrench	針銷扳鉗	针销扳钳
auschwitz	奧許維次（波蘭城市名）	奥许维次（波兰城市名）
napa	全國演員協會（National Association of Performing Artists）	全国演员协会（National Association of Performing Artists）
celery	芹菜	芹菜
berg	冰山	冰山
tap wrench	螺絲攻扳鉗	螺丝攻扳钳
dayton axe	代頓斧頭	代顿斧头
percussion instrument	打擊樂器	打击乐器
middle cerebral artery	大腦中動脈	大脑中动脉
peacock butterfly	孔雀鋏蝶	孔雀铗蝶
fungus genus	真菌屬	真菌属
myrtle bird	桃金娘	桃金娘
slime bacteria	粘細菌	粘细菌
vaginal discharge	陰道分泌物	阴道分泌物
american alligator	美洲短吻鱷	美洲短吻鳄
psi particle	ψ粒子	ψ粒子
cheek pouch	頰囊（猿等用以暫時貯藏食物之用）	颊囊（猿等用以暂时贮藏食物之用）
madagascar pepper	馬達加斯加辣椒	马达加斯加辣椒
sow bug	鼠婦	鼠妇
oriental beetle	東方麗金龜	东方丽金龟
spike lavender oil	穗薰衣草油	穗熏衣草油
household appliance	家用電器	家用电器
water skater	水黽	水黾
towing line	拖纜	拖缆
interstellar medium	星際介質	星际介质
spot-weld	點焊	点焊
gorilla gorilla	大猩猩大猩猩	大猩猩大猩猩
love-potion	媚藥	媚药
scorpion weed	蠍子雜草	蝎子杂草
spot weld	焊點	焊点
pea pod	豌豆莢	豌豆荚
t hinge	長尾鉸鏈	长尾铰链
saline solution	鹽溶液	盐溶液
pacific sturgeon	太平洋鱘魚	太平洋鲟鱼
lake malawi	馬拉維湖	马拉维湖
blended whiskey	混合威士忌	混合威士忌
rainbow cactus	堅硬鹿角掌	坚硬鹿角掌
doggy bag	狗食袋（餐館提供的食品袋	狗食袋（餐馆提供的食品袋
screw wrench	螺旋扳手	螺旋扳手
bell toad	【動物】真尾蟾(Ascaphus truei)(= tailed frog)	【动物】真尾蟾(Ascaphus truei)(= tailed frog)
myrtle flag	菖蒲（白菖）	菖蒲（白菖）
rose of jericho	【植】含生草	【植】含生草
soap flakes	皂片	皂片
pacific ridley	太平洋ridley	太平洋ridley
baby buggy		
fraser fir	弗雷澤冷杉	弗雷泽冷杉
pipe wrench	管扳鉗	管扳钳
dwarf russian almond	矮的俄羅斯杏仁	矮的俄罗斯杏仁
carrot pudding	胡蘿蔔布丁	胡萝卜布丁
aerial torpedo	空投魚雷	空投鱼雷
sparrow hawk	食雀鷹	食雀鹰
creeping willow	匍匐柳	匍匐柳
mashed potato	洋芋泥	洋芋泥
garden spade	園藝鍬	园艺锹
purple clover	紫色三葉草	紫色三叶草
herpes virus	皰疹病毒	疱疹病毒
mother hubbard	哈伯德大媽(童謠中的女主人公)	哈伯德大妈(童谣中的女主人公)
meadow mushroom	洋蘑菇	洋蘑菇
brilliant pebble	反彈道導彈	反弹道导弹
pulmonary vein	肺靜脈	肺静脉
monterey bay	蒙特利灣	蒙特利湾
greenland whale	格陵蘭鯨魚	格陵兰鲸鱼
binder board	活頁板	活页板
chinese alligator	揚子鱷	扬子鳄
melon ball	香瓜球	香瓜球
tomato ketchup	蕃茄醬	蕃茄酱
chinese celery	芹菜	芹菜
duck-billed dinosaur	鴨嘴龍	鸭嘴龙
bearing rein	頸上控韁	颈上控缰
spruce pine	光松(Pinus glabra)	光松(Pinus glabra)
manifold paper	複寫用紙	复写用纸
malt liquor	麥芽酒	麦芽酒
free-tailed bat	松尾蝠	松尾蝠
propeller plane	螺旋槳平面	螺旋桨平面
greasy spoon	<美俚>（供應廉價食物	<美俚>（供应廉价食物
suction pump	抽水機	抽水机
radiator cap	（汽車）水箱蓋	（汽车）水箱盖
golden barrel cactus	金琥仙人球	金琥仙人球
sunflower-seed oil	向日葵油	向日葵油
pin clover	針三葉草	针三叶草
lock washer	彈簧墊圈	弹簧垫圈
canoe cedar	大側柏	大侧柏
minnie bush	米妮布什	米妮布什
penthouse	屋頂房間	屋顶房间
sweat gland	汗腺	汗腺
engraving	雕刻	雕刻
gulf of oman	阿曼灣	阿曼湾
toad rush		
indigo	靛青	靛青
labyrinth	迷宮	迷宫
sweet melon	蜜瓜	蜜瓜
scuba	自攜式水中呼吸器	自携式水中呼吸器
shite	[戲謔語	[戏谑语
woody pear	木本梨	木本梨
thanksgiving cactus	感恩仙人掌	感恩仙人掌
pillars of hercules	海格力斯之柱	海格力斯之柱
tnt	梯恩梯	梯恩梯
cultivated carrot	栽培的胡蘿蔔	栽培的胡萝卜
paisley	(蘇格蘭)佩斯利渦紋旋花呢(的)	(苏格兰)佩斯利涡纹旋花呢(的)
shoreline	海岸線	海岸线
beach buggy	沙灘車（在沙灘上用的裝有特大輪胎的機動車）	沙滩车（在沙滩上用的装有特大轮胎的机动车）
muzzle	動物之鼻口	动物之鼻口
rooster	公雞	公鸡
reed canary grass	草蘆	草芦
briefs	三角褲	三角裤
mailbox	郵筒	邮筒
sulfur butterfly	粉蝶屬	粉蝶属
indian relish	印度美食	印度美食
thc	[藥]四氫大麻酚（tetrahydrocannabinol）	[药]四氢大麻酚（tetrahydrocannabinol）
ans	美國國家標準	美国国家标准
donut	甜甜圈	甜甜圈
bolster	支援	支持
cosy	保暖套	保暖套
slug	鼻涕蟲	鼻涕虫
viper	蝰蛇	蝰蛇
mammal	哺乳動物	哺乳动物
potomac	波拖馬可河（美國河名）	波拖马可河（美国河名）
lac	紫膠	紫胶
luncheon	午宴	午宴
single-propeller plane	單螺旋槳飛機	单螺旋桨飞机
cerebral mantle	大腦皮質	大脑皮质
tendon	腱	腱
hamster	倉鼠	仓鼠
mammal family	哺乳動物家庭	哺乳动物家庭
rowan tree	歐洲花揪	欧洲花揪
young mammal	年輕哺乳動物	年轻哺乳动物
urinary system	泌尿系統	泌尿系统
melon tree	番木瓜	番木瓜
leopard lizard	豹蜥	豹蜥
winter melon	冬甜瓜	冬甜瓜
sponge mushroom	羊肚菌	羊肚菌
coffee grinder	咖啡豆的磨具	咖啡豆的磨具
carpet tack	(釘地毯的)扁頭地毯釘	(钉地毯的)扁头地毯钉
line engraving	線雕畫	线雕画
paddle-wheeler	明輪輪船	明轮轮船
laughing jackass	笑翠鳥	笑翠鸟
involuntary muscle	不隨意肌	不随意肌
steroid alcohol	類固醇	类固醇
striped squirrel	花紋(松)鼠	花纹(松)鼠
sand myrtle	（產於美國東部地區的）歐石楠屬(Leiophyllum buxifolium)常綠灌木	（产于美国东部地区的）欧石楠属(Leiophyllum buxifolium)常绿灌木
peruvian lily	水仙百合	水仙百合
transmitting aerial	發射天線	发射天线
chemical mace	【商標】梅斯催淚毒氣(一種傷害性壓縮液態毒氣)(＝Mace)	【商标】梅斯催泪毒气(一种伤害性压缩液态毒气)(＝Mace)
takeoff rocket	起飛火箭	起飞火箭
type slug	列印條	打印条
celery stick	芹菜杆	芹菜杆
naval weaponry	海軍武器	海军武器
ling ko	蘋果	苹果
coyote brush	土狼刷	土狼刷
common viper	普通毒蛇	普通毒蛇
silk gland	絲腺	丝腺
pizza parlor	必勝客	必胜客
bog soil	沼澤土	沼泽土
net melon	網皮甜瓜	网皮甜瓜
ring-binder	活頁簿	活页簿
kiwi fruit	奇異果	奇异果
genus cosmos	宇宙屬	宇宙属
tack hammer	平頭釘錘	平头钉锤
wild celery	獨活	独活
fiesta flower	節日花	节日花
ace inhibitor	血管緊張素轉化酶抑制劑	血管紧张素转化酶抑制剂
bridal gown	新娘服裝	新娘服装
iron foundry	鑄鐵工場	铸铁工场
atlantic ridley	大西洋ridley	大西洋ridley
double-propeller plane	雙螺旋槳飛機	双螺旋桨飞机
joint hinge	接合鉸鏈	接合铰链
american dwarf birch	美國矮人樺樹	美国矮人桦树
rum baba	羅姆酒婆婆蛋糕	罗姆酒婆婆蛋糕
hinge joint	屈戍關節	屈戍关节
sea slug	海參	海参
seattle slew	西雅圖旋風	西雅图旋风
pacific tree toad	太平洋樹蟾蜍	太平洋树蟾蜍
baseball mitt	棒球手套	棒球手套
towing path	纖路	纤路
iced-tea spoon	冰飲長匙	冰饮长匙
cafe royale	摻酒清咖啡[亦稱作 coffee royal]	掺酒清咖啡[亦称作 coffee royal]
vinyl ether	乙烯醚	乙烯醚
veg	蔬菜	蔬菜
worldly possession	世俗佔有	世俗占有
toxin	毒素	毒素
